id,label,parent,value
871633002,null,,1
235766003_1,null,85942002_1,3
46761000087106,null,,1
46040000_1,null,235766003_1,2
55957000,null,,1
64766004_1,null,46040000_1,1
445243001_1,null,64766004_1,1
266071000_2,null,85919009_1,1
724534002,null,,1
712510007_1,null,85919009_1,1
46761000087106,null,,1
119523007_1,null,85919009_1,3
302168000_1,null,119523007_1,1
64226004_1,null,302168000_1,1
64766004_2,null,64226004_1,1
445243001_2,null,64766004_2,1
128524007_1,null,119523007_1,2
67401000119103_1,null,128524007_1,2
46040000_2,null,67401000119103_1,2
55957000,null,,1
64766004_3,null,46040000_2,1
445243001_3,null,64766004_3,1
64226004_2,null,128524007_1,1
64766004_4,null,64226004_2,1
445243001_4,null,64766004_4,1
235766003_2,null,119523007_1,3
46761000087106,null,,1
46040000_3,null,235766003_2,2
55957000,null,,1
64766004_5,null,46040000_3,1
445243001_5,null,64766004_5,1
1187638005_1,null,85919009_1,1
302168000_2,null,1187638005_1,1
64226004_3,null,302168000_2,1
64766004_6,null,64226004_3,1
445243001_6,null,64766004_6,1
119522002_1,null,85919009_1,6
52182008_1,null,119522002_1,4
51868009_2,null,52182008_1,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
3411000119107_1,null,52182008_1,1
79806007,null,,1
235710003_2,null,119522002_1,6
54822007_2,null,235710003_2,2
16121001_2,null,54822007_2,1
2783007_2,null,16121001_2,1
35517004_2,null,2783007_2,1
77987006,null,,1
30514008_3,null,2783007_2,1
77987006,null,,1
196707000_2,null,16121001_2,1
30514008_4,null,196707000_2,1
77987006,null,,1
51868009_3,null,235710003_2,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
304370001_1,null,119522002_1,2
54822007_3,null,304370001_1,2
16121001_3,null,54822007_3,1
2783007_3,null,16121001_3,1
35517004_3,null,2783007_3,1
77987006,null,,1
30514008_5,null,2783007_3,1
77987006,null,,1
196707000_3,null,16121001_3,1
30514008_6,null,196707000_3,1
77987006,null,,1
29384001_1,null,76712006_1,9
125626004_1,null,29384001_1,1
235674005_1,null,125626004_1,1
9829001_1,null,235674005_1,1
19850005_1,null,9829001_1,1
48974009,null,,1
62366003_1,null,9829001_1,1
48974009,null,,1
61401005_1,null,29384001_1,3
15902003_1,null,61401005_1,3
89748001_1,null,15902003_1,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_2,null,15902003_1,1
48974009,null,,1
16694003_1,null,15902003_1,1
70418001,null,,1
386211005_1,null,29384001_1,1
13267003_1,null,386211005_1,1
235675006_1,null,13267003_1,1
713704004_1,null,235675006_1,1
713702000,null,,1
717864006_1,null,29384001_1,3
89748001_2,null,717864006_1,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_3,null,717864006_1,1
48974009,null,,1
16694003_2,null,717864006_1,1
70418001,null,,1
253763002_1,null,29384001_1,1
235675006_2,null,253763002_1,1
713704004_2,null,235675006_2,1
713702000,null,,1
3411000119107_2,null,29384001_1,1
79806007,null,,1
300296006_1,null,29384001_1,8
235674005_2,null,300296006_1,1
9829001_2,null,235674005_2,1
19850005_2,null,9829001_2,1
48974009,null,,1
62366003_4,null,9829001_2,1
48974009,null,,1
126824007_2,null,300296006_1,1
363349007_3,null,126824007_2,1
276811008_3,null,363349007_3,1
448709005_3,null,276811008_3,1
449222008,null,,1
397825006_1,null,300296006_1,7
9829001_3,null,397825006_1,1
19850005_3,null,9829001_3,1
48974009,null,,1
62366003_5,null,9829001_3,1
48974009,null,,1
15902003_2,null,397825006_1,3
89748001_3,null,15902003_2,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_6,null,15902003_2,1
48974009,null,,1
16694003_3,null,15902003_2,1
70418001,null,,1
73481001_1,null,397825006_1,1
67964002_1,null,73481001_1,1
30514008_7,null,67964002_1,1
77987006,null,,1
2783007_4,null,73481001_1,1
35517004_4,null,2783007_4,1
77987006,null,,1
30514008_8,null,2783007_4,1
77987006,null,,1
79806007,null,,1
16121001_4,null,397825006_1,1
2783007_5,null,16121001_4,1
35517004_5,null,2783007_5,1
77987006,null,,1
30514008_9,null,2783007_5,1
77987006,null,,1
196707000_4,null,16121001_4,1
30514008_10,null,196707000_4,1
77987006,null,,1
235651006_1,null,397825006_1,1
956321981000119108,null,,1
95529005_1,null,397825006_1,5
89748001_4,null,95529005_1,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
67964002_2,null,95529005_1,1
30514008_11,null,67964002_2,1
77987006,null,,1
19850005_4,null,95529005_1,1
48974009,null,,1
415624002_1,null,95529005_1,1
308882008,null,,1
196707000_5,null,95529005_1,1
30514008_12,null,196707000_5,1
77987006,null,,1
500790491000119109,null,,1
37657006_1,null,76712006_1,2
300286002_1,null,37657006_1,2
30811009_1,null,300286002_1,2
439955006_1,null,30811009_1,1
40719004,null,,1
16761005_1,null,37657006_1,1
439955006_2,null,16761005_1,1
40719004,null,,1
2556008_1,null,76712006_1,1
18718003_1,null,2556008_1,1
707606004_1,null,18718003_1,1
1172793008,null,,1
788951001_1,null,53619000_1,6
74474003_1,null,788951001_1,6
87763006_1,null,74474003_1,1
46761000087106,null,,1
712510007_2,null,74474003_1,1
46761000087106,null,,1
27719009_1,null,74474003_1,4
12274003_1,null,27719009_1,4
89748001_5,null,12274003_1,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
111353003_1,null,12274003_1,1
48974009,null,,1
37372002_1,null,74474003_1,5
61401005_2,null,37372002_1,3
15902003_3,null,61401005_2,3
89748001_6,null,15902003_3,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_7,null,15902003_3,1
48974009,null,,1
16694003_4,null,15902003_3,1
70418001,null,,1
64121000_1,null,37372002_1,5
12274003_2,null,64121000_1,4
89748001_7,null,12274003_2,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
111353003_2,null,12274003_2,1
48974009,null,,1
15902003_4,null,64121000_1,3
89748001_8,null,15902003_4,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_8,null,15902003_4,1
48974009,null,,1
16694003_5,null,15902003_4,1
70418001,null,,1
55617001_1,null,64121000_1,2
62366003_9,null,55617001_1,1
48974009,null,,1
111353003_3,null,55617001_1,1
48974009,null,,1
90489006,null,,1
48658001_1,null,64121000_1,1
90489006,null,,1
84410009_1,null,53619000_1,28
119292006_1,null,84410009_1,27
119291004_1,null,119292006_1,19
13200003_1,null,119291004_1,17
88169003_1,null,13200003_1,2
12625009_1,null,88169003_1,1
90489006,null,,1
79118000_1,null,88169003_1,1
19850005_5,null,79118000_1,1
48974009,null,,1
111353003_4,null,79118000_1,1
48974009,null,,1
9829001_4,null,88169003_1,1
19850005_6,null,9829001_4,1
48974009,null,,1
62366003_10,null,9829001_4,1
48974009,null,,1
55617001_2,null,88169003_1,2
62366003_11,null,55617001_2,1
48974009,null,,1
111353003_5,null,55617001_2,1
48974009,null,,1
90489006,null,,1
30811009_2,null,13200003_1,2
439955006_3,null,30811009_2,1
40719004,null,,1
196682000_1,null,13200003_1,7
415623008_1,null,196682000_1,2
23649000,null,,1
415624002_2,null,415623008_1,1
308882008,null,,1
45485004_1,null,196682000_1,1
67964002_3,null,45485004_1,1
30514008_13,null,67964002_3,1
77987006,null,,1
79118000_2,null,196682000_1,1
19850005_7,null,79118000_2,1
48974009,null,,1
111353003_6,null,79118000_2,1
48974009,null,,1
12274003_3,null,196682000_1,4
89748001_9,null,12274003_3,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
111353003_7,null,12274003_3,1
48974009,null,,1
95529005_2,null,196682000_1,5
89748001_10,null,95529005_2,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
67964002_4,null,95529005_2,1
30514008_14,null,67964002_4,1
77987006,null,,1
19850005_8,null,95529005_2,1
48974009,null,,1
415624002_3,null,95529005_2,1
308882008,null,,1
196707000_6,null,95529005_2,1
30514008_15,null,196707000_6,1
77987006,null,,1
500790491000119109,null,,1
717863000_1,null,13200003_1,1
16121001_5,null,717863000_1,1
2783007_6,null,16121001_5,1
35517004_6,null,2783007_6,1
77987006,null,,1
30514008_16,null,2783007_6,1
77987006,null,,1
196707000_7,null,16121001_5,1
30514008_17,null,196707000_7,1
77987006,null,,1
64121000_2,null,13200003_1,5
12274003_4,null,64121000_2,4
89748001_11,null,12274003_4,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
111353003_8,null,12274003_4,1
48974009,null,,1
15902003_5,null,64121000_2,3
89748001_12,null,15902003_5,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_12,null,15902003_5,1
48974009,null,,1
16694003_6,null,15902003_5,1
70418001,null,,1
55617001_3,null,64121000_2,2
62366003_13,null,55617001_3,1
48974009,null,,1
111353003_9,null,55617001_3,1
48974009,null,,1
90489006,null,,1
48658001_2,null,64121000_2,1
90489006,null,,1
786068005_1,null,13200003_1,1
37442009_1,null,13200003_1,2
45485004_2,null,37442009_1,1
67964002_5,null,45485004_2,1
30514008_18,null,67964002_5,1
77987006,null,,1
73481001_2,null,37442009_1,1
67964002_6,null,73481001_2,1
30514008_19,null,67964002_6,1
77987006,null,,1
2783007_7,null,73481001_2,1
35517004_7,null,2783007_7,1
77987006,null,,1
30514008_20,null,2783007_7,1
77987006,null,,1
51868009_4,null,13200003_1,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
397825006_2,null,13200003_1,7
9829001_5,null,397825006_2,1
19850005_9,null,9829001_5,1
48974009,null,,1
62366003_14,null,9829001_5,1
48974009,null,,1
15902003_6,null,397825006_2,3
89748001_13,null,15902003_6,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_15,null,15902003_6,1
48974009,null,,1
16694003_7,null,15902003_6,1
70418001,null,,1
73481001_3,null,397825006_2,1
67964002_7,null,73481001_3,1
30514008_21,null,67964002_7,1
77987006,null,,1
2783007_8,null,73481001_3,1
35517004_8,null,2783007_8,1
77987006,null,,1
30514008_22,null,2783007_8,1
77987006,null,,1
79806007,null,,1
16121001_6,null,397825006_2,1
2783007_9,null,16121001_6,1
35517004_9,null,2783007_9,1
77987006,null,,1
30514008_23,null,2783007_9,1
77987006,null,,1
196707000_8,null,16121001_6,1
30514008_24,null,196707000_8,1
77987006,null,,1
235651006_2,null,397825006_2,1
956321981000119108,null,,1
95529005_3,null,397825006_2,5
89748001_14,null,95529005_3,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
67964002_8,null,95529005_3,1
30514008_25,null,67964002_8,1
77987006,null,,1
19850005_10,null,95529005_3,1
48974009,null,,1
415624002_4,null,95529005_3,1
308882008,null,,1
196707000_9,null,95529005_3,1
