id,label,parent,value
26078007,null,,1
39727004,null,,1
72022006_2,null,367390009_2,2
63287004_2,null,72022006_2,1
23717007,null,,1
18416000,null,,1
78808002_5,null,72022006_2,1
23717007,null,,1
48194001_6,null,367390009_2,9
398254007_6,null,48194001_6,5
765182005_13,null,398254007_6,2
16740331000119109,null,,2
41114007_6,null,398254007_6,2
16740331000119109,null,,2
46764007_6,null,398254007_6,1
95605009_9,null,46764007_6,1
16740451000119109,null,,1
67359005,null,,1
698638005,null,,1
40521000119100_8,null,48194001_6,4
16740451000119109,null,,1
765182005_14,null,40521000119100_8,2
16740331000119109,null,,2
8762007_2,null,367390009_2,1
8218002,null,,1
86041002_2,null,367390009_2,11
31407004,null,,3
65402008,null,,1
18416000,null,,1
34694006,null,,1
78808002_6,null,86041002_2,1
23717007,null,,1
67359005,null,,1
199005000,null,,3
102957003_1,null,404684003_1,3
106147001_1,null,102957003_1,1
699697007_1,null,106147001_1,1
279001004_1,null,699697007_1,1
301366005_2,null,279001004_1,1
85007004_3,null,301366005_2,1
16206781000119109,null,,1
90834002_1,null,279001004_1,1
10601006_1,null,90834002_1,1
287047008_1,null,10601006_1,1
16206781000119109,null,,1
78514002_1,null,10601006_1,1
85007004_4,null,78514002_1,1
16206781000119109,null,,1
287048003_1,null,10601006_1,1
16206781000119109,null,,1
713314006_1,null,699697007_1,1
10601006_2,null,713314006_1,1
287047008_2,null,10601006_2,1
16206781000119109,null,,1
78514002_2,null,10601006_2,1
85007004_5,null,78514002_2,1
16206781000119109,null,,1
287048003_2,null,10601006_2,1
16206781000119109,null,,1
276435006_1,null,106147001_1,1
22253000_1,null,276435006_1,1
279001004_2,null,22253000_1,1
301366005_3,null,279001004_2,1
85007004_6,null,301366005_3,1
16206781000119109,null,,1
90834002_2,null,279001004_2,1
10601006_3,null,90834002_2,1
287047008_3,null,10601006_3,1
16206781000119109,null,,1
78514002_3,null,10601006_3,1
85007004_7,null,78514002_3,1
16206781000119109,null,,1
287048003_3,null,10601006_3,1
16206781000119109,null,,1
106145009_1,null,102957003_1,2
52559000_2,null,106145009_1,2
44695005_2,null,52559000_2,2
770095003_3,null,44695005_2,1
770098001,null,,1
29426003_3,null,44695005_2,1
29188005_3,null,29426003_3,1
60389000_5,null,29188005_3,1
192967009_6,null,60389000_5,1
39912006_13,null,192967009_6,1
230261006_13,null,39912006_13,1
1259038005_25,null,230261006_13,1
1260134001,null,,1
737227004_13,null,39912006_13,1
1259038005_26,null,737227004_13,1
1260134001,null,,1
698292000_5,null,60389000_5,1
39912006_14,null,698292000_5,1
230261006_14,null,39912006_14,1
1259038005_27,null,230261006_14,1
1260134001,null,,1
737227004_14,null,39912006_14,1
1259038005_28,null,737227004_14,1
1260134001,null,,1
609553000_3,null,29426003_3,1
60389000_6,null,609553000_3,1
192967009_7,null,60389000_6,1
39912006_15,null,192967009_7,1
230261006_15,null,39912006_15,1
1259038005_29,null,230261006_15,1
1260134001,null,,1
737227004_15,null,39912006_15,1
1259038005_30,null,737227004_15,1
1260134001,null,,1
698292000_6,null,60389000_6,1
39912006_16,null,698292000_6,1
230261006_16,null,39912006_16,1
1259038005_31,null,230261006_16,1
1260134001,null,,1
737227004_16,null,39912006_16,1
1259038005_32,null,737227004_16,1
1260134001,null,,1
106150003_1,null,102957003_1,1
770095003_4,null,106150003_1,1
770098001,null,,1
414252009_1,null,404684003_1,3
298379008_1,null,414252009_1,2
116306000_2,null,298379008_1,1
129139009_4,null,116306000_2,1
322821000119101_8,null,129139009_4,1
262742009,null,,1
128196005_8,null,129139009_4,1
860614004_16,null,128196005_8,1
262742009,null,,1
298593000_4,null,129139009_4,1
262742009,null,,1
299733008_2,null,298379008_1,1
48522003_3,null,299733008_2,1
434371000124108_3,null,48522003_3,1
39912006_17,null,434371000124108_3,1
230261006_17,null,39912006_17,1
1259038005_33,null,230261006_17,1
1260134001,null,,1
737227004_17,null,39912006_17,1
1259038005_34,null,737227004_17,1
1260134001,null,,1
246595001_1,null,298379008_1,1
230616000_1,null,246595001_1,1
860614004_17,null,230616000_1,1
262742009,null,,1
262738006_1,null,230616000_1,1
262742009,null,,1
128196005_9,null,246595001_1,1
860614004_18,null,128196005_9,1
262742009,null,,1
410730009_1,null,298379008_1,2
48522003_4,null,410730009_1,1
434371000124108_4,null,48522003_4,1
39912006_18,null,434371000124108_4,1
230261006_18,null,39912006_18,1
1259038005_35,null,230261006_18,1
1260134001,null,,1
737227004_18,null,39912006_18,1
1259038005_36,null,737227004_18,1
1260134001,null,,1
129139009_5,null,410730009_1,1
322821000119101_9,null,129139009_5,1
262742009,null,,1
128196005_10,null,129139009_5,1
860614004_19,null,128196005_10,1
262742009,null,,1
298593000_5,null,129139009_5,1
262742009,null,,1
1156538002_1,null,410730009_1,1
230616000_2,null,1156538002_1,1
860614004_20,null,230616000_2,1
262742009,null,,1
262738006_2,null,230616000_2,1
262742009,null,,1
111232005_1,null,1156538002_1,1
322821000119101_10,null,111232005_1,1
262742009,null,,1
262738006_3,null,111232005_1,1
262742009,null,,1
33308003_1,null,414252009_1,3
712893003_1,null,33308003_1,1
1156538002_2,null,712893003_1,1
230616000_3,null,1156538002_2,1
860614004_21,null,230616000_3,1
262742009,null,,1
262738006_4,null,230616000_3,1
262742009,null,,1
111232005_2,null,1156538002_2,1
322821000119101_11,null,111232005_2,1
262742009,null,,1
262738006_5,null,111232005_2,1
262742009,null,,1
1156589002_2,null,712893003_1,1
1153609000_2,null,1156589002_2,1
322821000119101_12,null,1153609000_2,1
262742009,null,,1
282766005_4,null,1156589002_2,1
322821000119101_13,null,282766005_4,1
262742009,null,,1
860614004_22,null,282766005_4,1
262742009,null,,1
410730009_2,null,33308003_1,2
48522003_5,null,410730009_2,1
434371000124108_5,null,48522003_5,1
39912006_19,null,434371000124108_5,1
230261006_19,null,39912006_19,1
1259038005_37,null,230261006_19,1
1260134001,null,,1
737227004_19,null,39912006_19,1
1259038005_38,null,737227004_19,1
1260134001,null,,1
129139009_6,null,410730009_2,1
322821000119101_14,null,129139009_6,1
262742009,null,,1
128196005_11,null,129139009_6,1
860614004_23,null,128196005_11,1
262742009,null,,1
298593000_6,null,129139009_6,1
262742009,null,,1
1156538002_3,null,410730009_2,1
230616000_4,null,1156538002_3,1
860614004_24,null,230616000_4,1
262742009,null,,1
262738006_6,null,230616000_4,1
262742009,null,,1
111232005_3,null,1156538002_3,1
322821000119101_15,null,111232005_3,1
262742009,null,,1
262738006_7,null,111232005_3,1
262742009,null,,1
230617009_4,null,33308003_1,1
1263551002,null,,1
106048009_1,null,404684003_1,207
302183005_1,null,106048009_1,7
762618008,null,,2
1177120001,null,,5
300851005_2,null,106048009_1,3
309529002_6,null,300851005_2,3
275504005_10,null,309529002_6,3
57686001_18,null,275504005_10,3
86680006,null,,1
301282008_1,null,106048009_1,15
366139009_1,null,301282008_1,15
230145002_1,null,366139009_1,15
267036007_1,null,230145002_1,15
119981000146107,null,,15
50043002_1,null,106048009_1,207
846640007_1,null,50043002_1,4
846634000_1,null,846640007_1,4
196026004,null,,2
840350008,null,,2
127275008_1,null,50043002_1,10
282446002_1,null,127275008_1,10
316358009_9,null,282446002_1,10
278976004_13,null,316358009_9,9
195957006_21,null,278976004_13,9
266355005,null,,3
16003001_21,null,195957006_21,4
23958009,null,,2
195958001,null,,1
86680006,null,,1
125590005_1,null,282446002_1,10
86680006,null,,1
195957006_22,null,125590005_1,9
266355005,null,,3
16003001_22,null,195957006_22,4
23958009,null,,2
195958001,null,,1
846641006_1,null,50043002_1,6
846635004_1,null,846641006_1,6
840351007,null,,3
836477007,null,,3
128272009_1,null,50043002_1,184
128997002_1,null,128272009_1,102
32398004_5,null,128997002_1,25
396285007_21,null,32398004_5,1
10625071000119104_29,null,396285007_21,1
10625671000119106_41,null,10625071000119104_29,1
10625711000119105,null,,1
10509002_5,null,32398004_5,24
312371005_9,null,10509002_5,22
233601004_17,null,312371005_9,22
138389411000119105,null,,22
106001000119101,null,,2
40600002_9,null,32398004_5,1
10625711000119105,null,,1
16146001_9,null,32398004_5,22
233601004_18,null,16146001_9,22
138389411000119105,null,,22
205237003_5,null,128997002_1,69
233604007_9,null,205237003_5,69
396285007_22,null,233604007_9,1
10625071000119104_30,null,396285007_22,1
10625671000119106_42,null,10625071000119104_30,1
10625711000119105,null,,1
53084003_9,null,233604007_9,3
10625071000119104_31,null,53084003_9,1
10625671000119106_43,null,10625071000119104_31,1
10625711000119105,null,,1
409665004_9,null,53084003_9,1
233607000_21,null,409665004_9,1
10625711000119105,null,,1
733051000_13,null,53084003_9,1
34020007_13,null,733051000_13,1
10625671000119106_44,null,34020007_13,1
10625711000119105,null,,1
233607000_22,null,34020007_13,1
10625711000119105,null,,1
430395005_9,null,53084003_9,2
70036007,null,,1
195888009_13,null,430395005_9,1
39172002,null,,1
75570004_9,null,233604007_9,66
713084008_13,null,75570004_9,66
882784691000119100,null,,66
4120002_5,null,128997002_1,12
737180005_9,null,4120002_5,12
47938003_13,null,737180005_9,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
40100001_5,null,4120002_5,12
47938003_14,null,40100001_5,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
40122008_5,null,128997002_1,1
398640008,null,,1
50417007_1,null,128272009_1,105
128601007_5,null,50417007_1,69
233604007_10,null,128601007_5,69
396285007_23,null,233604007_10,1
10625071000119104_32,null,396285007_23,1
10625671000119106_45,null,10625071000119104_32,1
10625711000119105,null,,1
53084003_10,null,233604007_10,3
10625071000119104_33,null,53084003_10,1
10625671000119106_46,null,10625071000119104_33,1
10625711000119105,null,,1
409665004_10,null,53084003_10,1
233607000_23,null,409665004_10,1
10625711000119105,null,,1
733051000_14,null,53084003_10,1
34020007_14,null,733051000_14,1
10625671000119106_47,null,34020007_14,1
10625711000119105,null,,1
233607000_24,null,34020007_14,1
10625711000119105,null,,1
430395005_10,null,53084003_10,2
70036007,null,,1
195888009_14,null,430395005_10,1
39172002,null,,1
75570004_10,null,233604007_10,66
713084008_14,null,75570004_10,66
882784691000119100,null,,66
312134000_1,null,50417007_1,97
880529761000119102_1,null,312134000_1,97
882784691000119100,null,,66
138389411000119105,null,,22
75570004_11,null,312134000_1,66
713084008_15,null,75570004_11,66
882784691000119100,null,,66
16146001_10,null,312134000_1,22
233601004_19,null,16146001_10,22
138389411000119105,null,,22
195742007_1,null,50417007_1,27
312371005_10,null,195742007_1,22
233601004_20,null,312371005_10,22
138389411000119105,null,,22
196001008_1,null,195742007_1,5
285381006,null,,4
312119006_1,null,50417007_1,3
53084003_11,null,312119006_1,3
10625071000119104_34,null,53084003_11,1
10625671000119106_48,null,10625071000119104_34,1
10625711000119105,null,,1
409665004_11,null,53084003_11,1
233607000_25,null,409665004_11,1
10625711000119105,null,,1
733051000_15,null,53084003_11,1
34020007_15,null,733051000_15,1
10625671000119106_49,null,34020007_15,1
10625711000119105,null,,1
233607000_26,null,34020007_15,1
10625711000119105,null,,1
430395005_11,null,53084003_11,2
70036007,null,,1
195888009_15,null,430395005_11,1
39172002,null,,1
40600002_10,null,312119006_1,1
10625711000119105,null,,1
233795005_5,null,50417007_1,23
396285007_24,null,233795005_5,1
10625071000119104_35,null,396285007_24,1
10625671000119106_50,null,10625071000119104_35,1
10625711000119105,null,,1
312371005_11,null,233795005_5,22
233601004_21,null,312371005_11,22
138389411000119105,null,,22
40600002_11,null,233795005_5,1
10625711000119105,null,,1
16146001_11,null,233795005_5,22
233601004_22,null,16146001_11,22
138389411000119105,null,,22
233776003_1,null,128272009_1,114
41427001_5,null,233776003_1,29
896891008_5,null,41427001_5,29
50943000_11,null,896891008_5,4
50513008_15,null,50943000_11,4
70756004,null,,4
32398004_6,null,896891008_5,25
396285007_25,null,32398004_6,1
10625071000119104_36,null,396285007_25,1
10625671000119106_51,null,10625071000119104_36,1
10625711000119105,null,,1
10509002_6,null,32398004_6,24
312371005_12,null,10509002_6,22
233601004_23,null,312371005_12,22
138389411000119105,null,,22
106001000119101,null,,2
40600002_12,null,32398004_6,1
10625711000119105,null,,1
16146001_12,null,32398004_6,22
233601004_24,null,16146001_12,22
138389411000119105,null,,22
301827008_5,null,896891008_5,4
50513008_16,null,301827008_5,4
70756004,null,,4
233795005_6,null,41427001_5,23
396285007_26,null,233795005_6,1
10625071000119104_37,null,396285007_26,1
10625671000119106_52,null,10625071000119104_37,1
10625711000119105,null,,1
312371005_13,null,233795005_6,22
233601004_25,null,312371005_13,22
138389411000119105,null,,22
40600002_13,null,233795005_6,1
10625711000119105,null,,1
16146001_13,null,233795005_6,22
233601004_26,null,16146001_13,22
138389411000119105,null,,22
125590005_2,null,233776003_1,10
86680006,null,,1
195957006_23,null,125590005_2,9
266355005,null,,3
16003001_23,null,195957006_23,4
23958009,null,,2
195958001,null,,1
13645005_1,null,233776003_1,93
87433001_9,null,13645005_1,60
68328006,null,,3
33325001,null,,1
47895001_19,null,87433001_9,10
66987001_19,null,47895001_19,7
70756004,null,,4
31898008,null,,2
4981000,null,,1
195957006_24,null,87433001_9,9
266355005,null,,3
16003001_24,null,195957006_24,4
23958009,null,,2
195958001,null,,1
1010333003,null,,3
233674008,null,,2
233675009_9,null,87433001_9,6
196026004,null,,2
836477007,null,,3
266356006,null,,6
233677001,null,,2
16846004,null,,2
708030004,null,,2
77690003,null,,2
1010334009,null,,4
57686001_19,null,87433001_9,3
86680006,null,,1
60805002,null,,2
135836000,null,,1
313299006,null,,4
195951007_1,null,13645005_1,12
196001008_2,null,195951007_1,5
285381006,null,,4
106001000119101,null,,2
1751000119100,null,,2
313297008,null,,3
10692761000119107,null,,1
47938003_15,null,13645005_1,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
68917000_5,null,233776003_1,73
87433001_10,null,68917000_5,60
68328006,null,,3
33325001,null,,1
47895001_20,null,87433001_10,10
66987001_20,null,47895001_20,7
70756004,null,,4
31898008,null,,2
4981000,null,,1
195957006_25,null,87433001_10,9
266355005,null,,3
16003001_25,null,195957006_25,4
23958009,null,,2
195958001,null,,1
1010333003,null,,3
233674008,null,,2
233675009_10,null,87433001_10,6
196026004,null,,2
836477007,null,,3
266356006,null,,6
233677001,null,,2
16846004,null,,2
708030004,null,,2
77690003,null,,2
1010334009,null,,4
57686001_20,null,87433001_10,3
86680006,null,,1
60805002,null,,2
10692761000119107,null,,1
4120002_6,null,68917000_5,12
737180005_10,null,4120002_6,12
47938003_16,null,737180005_10,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
40100001_6,null,4120002_6,12
47938003_17,null,40100001_6,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
123654008_1,null,128272009_1,10
50943000_12,null,123654008_1,4
50513008_17,null,50943000_12,4
70756004,null,,4
47147007_11,null,123654008_1,10
47895001_21,null,47147007_11,10
66987001_21,null,47895001_21,7
70756004,null,,4
19829001_5,null,128272009_1,138
233703007_10,null,19829001_5,3
77690003,null,,2
1222679006,null,,1
301232003_5,null,19829001_5,14
278976004_14,null,301232003_5,9
195957006_26,null,278976004_14,9
266355005,null,,3
16003001_26,null,195957006_26,4
23958009,null,,2
195958001,null,,1
51615001_5,null,301232003_5,2
708030004,null,,2
46621007_5,null,301232003_5,3
123713005_9,null,46621007_5,3
266355005,null,,3
275504005_11,null,301232003_5,3
57686001_21,null,275504005_11,3
86680006,null,,1
47147007_12,null,19829001_5,10
47895001_22,null,47147007_12,10
66987001_22,null,47895001_22,7
70756004,null,,4
316358009_10,null,19829001_5,10
278976004_15,null,316358009_10,9
195957006_27,null,278976004_15,9
266355005,null,,3
16003001_27,null,195957006_27,4
23958009,null,,2
195958001,null,,1
86680006,null,,1
128601007_6,null,19829001_5,69
233604007_11,null,128601007_6,69
396285007_27,null,233604007_11,1
10625071000119104_38,null,396285007_27,1
10625671000119106_53,null,10625071000119104_38,1
10625711000119105,null,,1
53084003_12,null,233604007_11,3
10625071000119104_39,null,53084003_12,1
10625671000119106_54,null,10625071000119104_39,1
10625711000119105,null,,1
409665004_12,null,53084003_12,1
233607000_27,null,409665004_12,1
10625711000119105,null,,1
733051000_16,null,53084003_12,1
34020007_16,null,733051000_16,1
10625671000119106_55,null,34020007_16,1
10625711000119105,null,,1
233607000_28,null,34020007_16,1
10625711000119105,null,,1
430395005_12,null,53084003_12,2
70036007,null,,1
195888009_16,null,430395005_12,1
39172002,null,,1
75570004_12,null,233604007_11,66
713084008_16,null,75570004_12,66
882784691000119100,null,,66
205237003_6,null,19829001_5,69
233604007_12,null,205237003_6,69
396285007_28,null,233604007_12,1
10625071000119104_40,null,396285007_28,1
10625671000119106_56,null,10625071000119104_40,1
10625711000119105,null,,1
53084003_13,null,233604007_12,3
10625071000119104_41,null,53084003_13,1
10625671000119106_57,null,10625071000119104_41,1
10625711000119105,null,,1
409665004_13,null,53084003_13,1
233607000_29,null,409665004_13,1
10625711000119105,null,,1
733051000_17,null,53084003_13,1
34020007_17,null,733051000_17,1
10625671000119106_58,null,34020007_17,1
10625711000119105,null,,1
233607000_30,null,34020007_17,1
10625711000119105,null,,1
430395005_13,null,53084003_13,2
70036007,null,,1
195888009_17,null,430395005_13,1
39172002,null,,1
75570004_13,null,233604007_12,66
713084008_17,null,75570004_13,66
882784691000119100,null,,66
398726004_5,null,19829001_5,1
398640008,null,,1
24417004_5,null,19829001_5,1
74015002_5,null,24417004_5,1
40122008_6,null,74015002_5,1
398640008,null,,1
86157004_5,null,24417004_5,1
398640008,null,,1
95436008_5,null,19829001_5,69
70036007,null,,1
733051000_18,null,95436008_5,1
34020007_18,null,733051000_18,1
10625671000119106_59,null,34020007_18,1
10625711000119105,null,,1
233607000_31,null,34020007_18,1
10625711000119105,null,,1
396285007_29,null,95436008_5,1
10625071000119104_42,null,396285007_29,1
10625671000119106_60,null,10625071000119104_42,1
10625711000119105,null,,1
713084008_18,null,95436008_5,66
882784691000119100,null,,66
195888009_18,null,95436008_5,1
39172002,null,,1
19242006_6,null,19829001_5,2
698638005,null,,1
698640000,null,,1
413839001_5,null,19829001_5,73
87433001_11,null,413839001_5,60
68328006,null,,3
33325001,null,,1
47895001_23,null,87433001_11,10
66987001_23,null,47895001_23,7
70756004,null,,4
31898008,null,,2
4981000,null,,1
195957006_28,null,87433001_11,9
266355005,null,,3
16003001_28,null,195957006_28,4
23958009,null,,2
195958001,null,,1
1010333003,null,,3
233674008,null,,2
233675009_11,null,87433001_11,6
196026004,null,,2
836477007,null,,3
266356006,null,,6
233677001,null,,2
16846004,null,,2
708030004,null,,2
77690003,null,,2
1010334009,null,,4
57686001_22,null,87433001_11,3
86680006,null,,1
60805002,null,,2
10692761000119107,null,,1
737180005_11,null,413839001_5,12
47938003_18,null,737180005_11,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
123713005_10,null,413839001_5,3
266355005,null,,3
68917000_6,null,19829001_5,73
87433001_12,null,68917000_6,60
68328006,null,,3
33325001,null,,1
47895001_24,null,87433001_12,10
66987001_24,null,47895001_24,7
70756004,null,,4
31898008,null,,2
4981000,null,,1
195957006_29,null,87433001_12,9
266355005,null,,3
16003001_29,null,195957006_29,4
23958009,null,,2
195958001,null,,1
1010333003,null,,3
233674008,null,,2
233675009_12,null,87433001_12,6
196026004,null,,2
836477007,null,,3
266356006,null,,6
233677001,null,,2
16846004,null,,2
708030004,null,,2
77690003,null,,2
1010334009,null,,4
57686001_23,null,87433001_12,3
86680006,null,,1
60805002,null,,2
10692761000119107,null,,1
4120002_7,null,68917000_6,12
737180005_12,null,4120002_7,12
47938003_19,null,737180005_12,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
40100001_7,null,4120002_7,12
47938003_20,null,40100001_7,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
282446002_2,null,128272009_1,10
316358009_11,null,282446002_2,10
278976004_16,null,316358009_11,9
195957006_30,null,278976004_16,9
266355005,null,,3
16003001_30,null,195957006_30,4
23958009,null,,2
195958001,null,,1
86680006,null,,1
125590005_3,null,282446002_2,10
86680006,null,,1
195957006_31,null,125590005_3,9
266355005,null,,3
16003001_31,null,195957006_31,4
23958009,null,,2
195958001,null,,1
275498002_1,null,50043002_1,116
50417007_2,null,275498002_1,105
128601007_7,null,50417007_2,69
233604007_13,null,128601007_7,69
396285007_30,null,233604007_13,1
10625071000119104_43,null,396285007_30,1
10625671000119106_61,null,10625071000119104_43,1
10625711000119105,null,,1
53084003_14,null,233604007_13,3
10625071000119104_44,null,53084003_14,1
10625671000119106_62,null,10625071000119104_44,1
10625711000119105,null,,1
409665004_14,null,53084003_14,1
233607000_32,null,409665004_14,1
10625711000119105,null,,1
733051000_19,null,53084003_14,1
34020007_19,null,733051000_19,1
10625671000119106_63,null,34020007_19,1
10625711000119105,null,,1
233607000_33,null,34020007_19,1
10625711000119105,null,,1
430395005_14,null,53084003_14,2
70036007,null,,1
195888009_19,null,430395005_14,1
39172002,null,,1
75570004_14,null,233604007_13,66
713084008_19,null,75570004_14,66
882784691000119100,null,,66
312134000_2,null,50417007_2,97
880529761000119102_2,null,312134000_2,97
882784691000119100,null,,66
138389411000119105,null,,22
75570004_15,null,312134000_2,66
713084008_20,null,75570004_15,66
882784691000119100,null,,66
16146001_14,null,312134000_2,22
233601004_27,null,16146001_14,22
138389411000119105,null,,22
195742007_2,null,50417007_2,27
312371005_14,null,195742007_2,22
233601004_28,null,312371005_14,22
138389411000119105,null,,22
196001008_3,null,195742007_2,5
285381006,null,,4
312119006_2,null,50417007_2,3
53084003_15,null,312119006_2,3
10625071000119104_45,null,53084003_15,1
10625671000119106_64,null,10625071000119104_45,1
10625711000119105,null,,1
409665004_15,null,53084003_15,1
233607000_34,null,409665004_15,1
10625711000119105,null,,1
733051000_20,null,53084003_15,1
34020007_20,null,733051000_20,1
10625671000119106_65,null,34020007_20,1
10625711000119105,null,,1
233607000_35,null,34020007_20,1
10625711000119105,null,,1
430395005_15,null,53084003_15,2
70036007,null,,1
195888009_20,null,430395005_15,1
39172002,null,,1
40600002_14,null,312119006_2,1
10625711000119105,null,,1
233795005_7,null,50417007_2,23
396285007_31,null,233795005_7,1
10625071000119104_46,null,396285007_31,1
10625671000119106_66,null,10625071000119104_46,1
10625711000119105,null,,1
312371005_15,null,233795005_7,22
233601004_29,null,312371005_15,22
138389411000119105,null,,22
40600002_15,null,233795005_7,1
10625711000119105,null,,1
16146001_15,null,233795005_7,22
233601004_30,null,16146001_15,22
138389411000119105,null,,22
195647007_1,null,275498002_1,27
195742007_3,null,195647007_1,27
312371005_16,null,195742007_3,22
233601004_31,null,312371005_16,22
138389411000119105,null,,22
196001008_4,null,195742007_3,5
285381006,null,,4
312117008_1,null,275498002_1,3
312119006_3,null,312117008_1,3
53084003_16,null,312119006_3,3
10625071000119104_47,null,53084003_16,1
10625671000119106_67,null,10625071000119104_47,1
10625711000119105,null,,1
409665004_16,null,53084003_16,1
233607000_36,null,409665004_16,1
10625711000119105,null,,1
733051000_21,null,53084003_16,1
34020007_21,null,733051000_21,1
10625671000119106_68,null,34020007_21,1
10625711000119105,null,,1
233607000_37,null,34020007_21,1
10625711000119105,null,,1
430395005_16,null,53084003_16,2
70036007,null,,1
195888009_21,null,430395005_16,1
39172002,null,,1
40600002_16,null,312119006_3,1
10625711000119105,null,,1
54150009_1,null,275498002_1,14
281794004_1,null,54150009_1,14
1240541000000107,null,,14
312133006_1,null,275498002_1,108
312134000_3,null,312133006_1,97
880529761000119102_3,null,312134000_3,97
882784691000119100,null,,66
138389411000119105,null,,22
75570004_16,null,312134000_3,66
713084008_21,null,75570004_16,66
882784691000119100,null,,66
16146001_16,null,312134000_3,22
233601004_32,null,16146001_16,22
138389411000119105,null,,22
281794004_2,null,312133006_1,14
1240541000000107,null,,14
111273006_1,null,50043002_1,34
195951007_2,null,111273006_1,12
196001008_5,null,195951007_2,5
285381006,null,,4
106001000119101,null,,2
1751000119100,null,,2
281239006_1,null,111273006_1,2
1751000119100,null,,2
10509002_7,null,111273006_1,24
312371005_17,null,10509002_7,22
233601004_33,null,312371005_17,22
138389411000119105,null,,22
106001000119101,null,,2
195647007_2,null,111273006_1,27
195742007_4,null,195647007_2,27
312371005_18,null,195742007_4,22
233601004_34,null,312371005_18,22
138389411000119105,null,,22
196001008_6,null,195742007_4,5
285381006,null,,4
196187007_1,null,50043002_1,7
762618008,null,,2
1177120001,null,,5
17849001_1,null,50043002_1,10
275260000_1,null,17849001_1,10
123654008_2,null,275260000_1,10
50943000_13,null,123654008_2,4
50513008_18,null,50943000_13,4
70756004,null,,4
47147007_13,null,123654008_2,10
47895001_25,null,47147007_13,10
66987001_25,null,47895001_25,7
70756004,null,,4
373405005_1,null,50043002_1,102
363180009_1,null,373405005_1,102
128997002_2,null,363180009_1,102
32398004_7,null,128997002_2,25
396285007_32,null,32398004_7,1
10625071000119104_48,null,396285007_32,1
10625671000119106_69,null,10625071000119104_48,1
10625711000119105,null,,1
10509002_8,null,32398004_7,24
312371005_19,null,10509002_8,22
233601004_35,null,312371005_19,22
138389411000119105,null,,22
106001000119101,null,,2
40600002_17,null,32398004_7,1
10625711000119105,null,,1
16146001_17,null,32398004_7,22
233601004_36,null,16146001_17,22
138389411000119105,null,,22
205237003_7,null,128997002_2,69
233604007_14,null,205237003_7,69
396285007_33,null,233604007_14,1
10625071000119104_49,null,396285007_33,1
10625671000119106_70,null,10625071000119104_49,1
10625711000119105,null,,1
53084003_17,null,233604007_14,3
10625071000119104_50,null,53084003_17,1
10625671000119106_71,null,10625071000119104_50,1
10625711000119105,null,,1
409665004_17,null,53084003_17,1
233607000_38,null,409665004_17,1
10625711000119105,null,,1
733051000_22,null,53084003_17,1
34020007_22,null,733051000_22,1
10625671000119106_72,null,34020007_22,1
10625711000119105,null,,1
233607000_39,null,34020007_22,1
10625711000119105,null,,1
430395005_17,null,53084003_17,2
70036007,null,,1
195888009_22,null,430395005_17,1
39172002,null,,1
75570004_17,null,233604007_14,66
713084008_22,null,75570004_17,66
882784691000119100,null,,66
4120002_8,null,128997002_2,12
737180005_13,null,4120002_8,12
47938003_21,null,737180005_13,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
40100001_8,null,4120002_8,12
47938003_22,null,40100001_8,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
40122008_7,null,128997002_2,1
398640008,null,,1
119981000146107,null,,15
199293005_2,null,50043002_1,2
698638005,null,,1
698640000,null,,1
17097001_1,null,50043002_1,93
846634000_2,null,17097001_1,4
196026004,null,,2
840350008,null,,2
846635004_2,null,17097001_1,6
840351007,null,,3
836477007,null,,3
13645005_2,null,17097001_1,93
87433001_13,null,13645005_2,60
68328006,null,,3
33325001,null,,1
47895001_26,null,87433001_13,10
66987001_26,null,47895001_26,7
70756004,null,,4
31898008,null,,2
4981000,null,,1
195957006_32,null,87433001_13,9
266355005,null,,3
16003001_32,null,195957006_32,4
23958009,null,,2
195958001,null,,1
1010333003,null,,3
233674008,null,,2
233675009_13,null,87433001_13,6
196026004,null,,2
836477007,null,,3
266356006,null,,6
233677001,null,,2
16846004,null,,2
708030004,null,,2
77690003,null,,2
1010334009,null,,4
57686001_24,null,87433001_13,3
86680006,null,,1
60805002,null,,2
135836000,null,,1
313299006,null,,4
195951007_3,null,13645005_2,12
196001008_7,null,195951007_3,5
285381006,null,,4
106001000119101,null,,2
1751000119100,null,,2
313297008,null,,3
10692761000119107,null,,1
47938003_23,null,13645005_2,12
762618008,null,,2
840351007,null,,3
1177120001,null,,5
840350008,null,,2
413839001_6,null,17097001_1,73
87433001_14,null,413839001_6,60
68328006,null,,3
33325001,null,,1
47895001_27,null,87433001_14,10
66987001_27,null,47895001_27,7
